"prs_id","prs_originelenaam","prs_achternaam","prs_tussenvoegsels","prs_initialen","prs_voornamen","rol_functie","prs_UUID","vwz_archivelink"
"525","Battels, Doije","Battels","","","Doije","soldaat","f773ef6e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//89///|NL-HaNA/2.01.15/160//9b///"
"526","Battes, Johannes","Battes","","","Johannes","soldaat","f773f590-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/163//3///"
"527","Battes, Matthijs","Battes","","","Matthijs","soldaat","f773fb30-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/168//21///|NL-HaNA/2.01.15/161//6///"
"528","Batting, Jean Louis","Batting","","","Jean Louis","soldaat","f774012a-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//78///"
"529","Battum, Jacob van","Battum","van","","Jacob","soldaat","f77407f6-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/162//3///"
"530","Battum, Johan van","Battum","van","","Johan","soldaat","f7740d8c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//3///|NL-HaNA/2.01.15/168//19///"
"531","Bau, Adam","Bau","","","Adam","soldaat","f774120a-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//198///|NL-HaNA/2.01.15/165//5///"
"532","Bauché, Abraham (la)","Bauché","(la)","","Abraham","officier","f7741778-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//24///|NL-HaNA/2.01.15/175//9///|NL-HaNA/2.01.15/173//37///|NL-HaNA/2.01.15/172//59///|NL-HaNA/2.01.15/170//85///|NL-HaNA/2.01.15/159//14///"
"533","Baud, Abraham","Baud","","","Abraham","officier","f7741c50-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/184//16///"
"534","Baud, Anthoon","Baud","","","Anthoon","onderofficier","f7742146-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//3///"
"535","Baud, Antonie","Baud","","","Antonie","onderofficier","f77427c2-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/168//18///"
"536","Baud, Claude","Baud","","","Claude","soldaat","f7742d62-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//3///"
"537","Bauderith, Jacob","Bauderith","","","Jacob","soldaat","f7743230-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//4///"
"538","Bauer, F.","Bauer","","F.","F.","officier","f77438e8-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//4///|NL-HaNA/2.01.15/175//12///|NL-HaNA/2.01.15/173//56///|NL-HaNA/2.01.15/172//102///"
"539","Bauer, Hendrik","Bauer","","","Hendrik","onderofficier","f7743d84-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//8///|NL-HaNA/2.01.15/183//11///"
"540","Baum, F.","Baum","","F.","F.","officier","f77442c0-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/157//31///"
"541","Baum, J.","Baum","","J.","J.","onderofficier","f7744842-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//119///"
"542","Baum, Jacob","Baum","","","Jacob","soldaat","f7744e5a-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//22///|NL-HaNA/2.01.15/169//179///"
"543","Baum, Joh. Georg","Baum","","Joh.","Joh. Georg","soldaat","f77453be-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/163//3///"
