Anthoon,Baud,NL-HaNA/2.01.15/165//3///,f7742146-e2d6-102c-9a92-005056a23d00
Claude,Baud,NL-HaNA/2.01.15/165//3///,f7742d62-e2d6-102c-9a92-005056a23d00
Jacob,Bauderith,NL-HaNA/2.01.15/165//4///,f7743230-e2d6-102c-9a92-005056a23d00
Hendrik,Bauman,NL-HaNA/2.01.15/165// 4///|NL-HaNA/2.01.15/165//3///|NL-HaNA/2.01.15/169//130///,f77467be-e2d6-102c-9a92-005056a23d00
Johan,Bauman,NL-HaNA/2.01.15/169// 238///|NL-HaNA/2.01.15/169//198///|NL-HaNA/2.01.15/165//4///,f77477a4-e2d6-102c-9a92-005056a23d00
Wilhelm,Bauman,NL-HaNA/2.01.15/165//3///,f7748a1e-e2d6-102c-9a92-005056a23d00
Heinrich,Baumberger,NL-HaNA/2.01.15/169//130///|NL-HaNA/2.01.15/165//5///,f7749482-e2d6-102c-9a92-005056a23d00
Johan,Baumgarter,NL-HaNA/2.01.15/165//5///,f7749e8c-e2d6-102c-9a92-005056a23d00
Louis,Bavelot,NL-HaNA/2.01.15/165//4///,f774f918-e2d6-102c-9a92-005056a23d00
Christiaan Hendrik,Becker,NL-HaNA/2.01.15/168//31///|NL-HaNA/2.01.15/165//4///,f7757c80-e2d6-102c-9a92-005056a23d00
Martin,Becker,NL-HaNA/2.01.15/169//244///|NL-HaNA/2.01.15/165//4///,f775a872-e2d6-102c-9a92-005056a23d00
Jacob,Behr,NL-HaNA/2.01.15/165//5///,f7772b66-e2d6-102c-9a92-005056a23d00
Bernhard,Bein,NL-HaNA/2.01.15/165//3///,f7775f6e-e2d6-102c-9a92-005056a23d00
Daniel,Bekker,NL-HaNA/2.01.15/169//198///|NL-HaNA/2.01.15/165//4///,f7779f42-e2d6-102c-9a92-005056a23d00
Hendrich,Bender,NL-HaNA/2.01.15/165//4///,f7789b54-e2d6-102c-9a92-005056a23d00
Johan,Benninger,NL-HaNA/2.01.15/169//2///|NL-HaNA/2.01.15/168//24///|NL-HaNA/2.01.15/165//5///,f778ec58-e2d6-102c-9a92-005056a23d00
Martin,Benz,NL-HaNA/2.01.15/169//244///|NL-HaNA/2.01.15/165//5///,f7793f14-e2d6-102c-9a92-005056a23d00
Jacob,Berner,NL-HaNA/2.01.15/169//198///|NL-HaNA/2.01.15/165//5///,f77b64d8-e2d6-102c-9a92-005056a23d00
Francois,Bernet,NL-HaNA/2.01.15/165//4///,f77b7374-e2d6-102c-9a92-005056a23d00
Georg,Bernhard,NL-HaNA/2.01.15/165//4///,f77b961a-e2d6-102c-9a92-005056a23d00
Laurens,Besten,NL-HaNA/2.01.15/169//238///|NL-HaNA/2.01.15/165//5///,f77c1d6a-e2d6-102c-9a92-005056a23d00
Fredrik,Beyer,NL-HaNA/2.01.15/168//18///|NL-HaNA/2.01.15/165//3///,f77cf28a-e2d6-102c-9a92-005056a23d00
Hendrik,Bieber,NL-HaNA/2.01.15/165//4///,f77d38f8-e2d6-102c-9a92-005056a23d00
Johannes,Bilderbeek,NL-HaNA/2.01.15/165//3///,f77dc46c-e2d6-102c-9a92-005056a23d00
Conraad,Bildstein,NL-HaNA/2.01.15/165//3///,f77dc9e4-e2d6-102c-9a92-005056a23d00
